"Country","Year","TotalFatGramPerDay","TotalKCaloriePerDay","TotalCapProteinGPD","TotalCapSugarKPY","TotalCapFruitKPD","TotalCapVeggieKPY"
"South Africa",2012,84.7,3014,84.5,36,32.7,46.8
"South Africa",2013,83.6,3022,85.3,36.9,38,43
"Colombia",2000,73.2,2779,63.4,62.8,118.4,39.4
"Colombia",2001,73,2815,63.7,64,120.6,34.5
"Colombia",2002,73.2,2782,63.4,62.7,122.3,34.8
"Colombia",2003,72.7,2798,63.1,63.2,119.9,38.2
"Colombia",2004,71.8,2778,61.8,63.5,122.2,36.5
"Colombia",2005,73.6,2733,62.2,61.7,120.9,37.1
"Colombia",2006,75.6,2770,63.8,60.8,134.8,32.8
"Colombia",2007,75.9,2804,64.1,61.1,133.8,34.8
"Colombia",2008,77.2,2807,64.8,60.9,132.7,37.8
"Colombia",2009,74.3,2708,61.5,59.8,122.7,39.1
"Colombia",2010,78,2665,61.5,54.6,129.8,38.5
"Colombia",2011,78.7,2696,62.5,55.1,123.1,38.5
"Colombia",2012,80.5,2752,64.2,56.7,131.7,41
"Colombia",2013,82.2,2804,64.4,58.4,145.5,42.3
"Costa Rica",2000,78,2800,74.2,56.4,157.8,39.9
"Costa Rica",2001,76.9,2801,70.5,55.2,168.2,45.6
"Costa Rica",2002,78.6,2765,70.1,55.4,156.8,45.9
"Costa Rica",2003,78.1,2749,70.6,56,120.7,44
"Costa Rica",2004,82.1,2761,70.3,55.3,83.7,45.9
"Costa Rica",2005,82.3,2813,70.8,57.2,151.3,39.2
"Costa Rica",2006,86.2,2873,73,57.5,158.7,57.1
"Costa Rica",2007,87.5,2858,74.5,58.8,100.2,52.6
"Costa Rica",2008,87.7,2844,75.3,56.2,85.2,56.4
"Costa Rica",2009,87.5,2843,76.1,54.9,85.1,53
"Costa Rica",2010,86.6,2848,75.9,54.7,105.8,48.2
"Costa Rica",2011,87.9,2882,76.1,54.2,121.6,47.9
"Costa Rica",2012,89.6,2850,74.4,54.4,140.3,43.9
"Costa Rica",2013,90.5,2848,75.1,52.6,133.4,49.7
"Latvia",2000,92.4,2785,77,33.9,58.4,71.6
"Latvia",2001,100.9,2897,78.2,42.5,54,96.6
"Latvia",2002,109.4,3005,81.3,40.2,58.9,95
"Latvia",2003,111.8,3047,85.8,35.2,51.7,112.9
"Latvia",2004,119.5,3077,86,36.7,52.3,109
"Latvia",2005,118.7,3141,85.8,38.5,58.5,107.9
"Latvia",2006,128.2,3213,90.8,32.2,57.7,104.9
"Latvia",2007,124.2,3161,93.2,29.3,61.6,105.3
"Latvia",2008,120.4,3157,96,35.2,52.7,105.9
"Latvia",2009,121,3174,96.8,33.1,48.6,105.3
"Latvia",2010,120,3136,96.3,35.9,46.3,106.7
"Latvia",2011,119.9,3148,96.5,37.5,48.3,112.4
"Latvia",2012,118,3108,92.1,39.9,47.4,109.6
"Latvia",2013,119.5,3174,91.4,42.6,48,113
"Lithuania",2000,75.4,3160,104.8,37,65.6,93.6
"Lithuania",2001,84.4,3269,104.3,43.9,73.2,93.7
"Lithuania",2002,90,3276,108.2,40.3,57.8,89.4
"Lithuania",2003,93.8,3288,108,39.2,66,117.7
"Lithuania",2004,94.9,3361,116.8,38.6,55.9,106.6
"Lithuania",2005,100.8,3463,120,42.1,73.5,116
"Lithuania",2006,101.3,3466,118.9,46.1,108.8,87
"Lithuania",2007,103.2,3563,126.2,47.6,99.1,96.8
"Lithuania",2008,102.6,3522,127.1,50,62.3,100.1
"Lithuania",2009,99,3470,127,47.8,57.4,106.8
"Lithuania",2010,99.8,3333,120.5,43.1,42.1,94.9
"Lithuania",2011,100.6,3409,120.1,45.6,41.6,109.5
"Lithuania",2012,94.5,3390,124.2,46.5,55,112
"Lithuania",2013,94.6,3417,124.5,47.5,49.1,109
